id,user,uid,version,changeset,timestamp
325360302,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:34Z
325360303,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:34Z
325360304,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:35Z
325360305,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:35Z
325360306,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:35Z
325360307,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:35Z
325360308,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:35Z
325360309,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:35Z
325360310,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:35Z
325360311,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:35Z
325360312,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:36Z
325360313,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:36Z
325360314,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:36Z
325360348,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:39Z
325360359,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:40Z
325360377,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:44Z
325360423,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:47Z
325360541,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:53Z
325360576,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:55Z
325360614,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:57Z
325360616,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:57Z
325360644,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:59Z
325360645,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:59Z
325360648,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:59Z
325360650,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:52:59Z
325360651,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:00Z
325360663,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:02Z
325360665,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:02Z
325360666,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:02Z
325360668,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:02Z
325360669,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:02Z
325360670,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:03Z
325360671,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:03Z
325360672,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:03Z
325360673,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:03Z
325360674,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:03Z
